scenario,profit,fulfillment,mean_price,mae,transfer,reallocated,defaults,dumps,final_backlog,price_pressure_cost,fallback_updates,edge_hits
baseline,3716.367127896827,0.9933925624690858,5.833333333333333,26.86111111111111,39.98574419724581,199.93390408668498,2,0,0.5230569286120242,0.0,0,1
price_war,3597.08766387086,0.9977642090874045,5.861111111111111,27.333333333333332,10.732736049761602,83.9054274437236,0,0,0.0,227.50200000000004,0,1
supply_shock,4237.7842281408675,0.9530285045487294,5.855555555555556,55.361111111111114,92.5205200902128,158.85058199494864,7,0,10.924170830821264,0.0,0,1
high_volatility,3706.563878479929,0.9888444594764009,5.833333333333333,40.05555555555556,33.85331427447461,181.67287807051395,4,0,1.318257962009362,0.0,0,1
no_reputation,3532.8152979803326,0.9886391755317563,5.75,28.166666666666668,41.868073311005304,147.63652252920062,4,0,3.2322768691033517,0.0,0,1
no_transfer,3558.803864717758,0.9792129784059016,5.8277777777777775,27.25,0.0,92.76808459418123,8,0,3.0195447126202626,0.0,0,1
