scenario,rounds,rows,profit,fulfillment,mean_price,mae,transfer,reallocated,defaults,dumps,final_backlog,fallback_updates
baseline,12,36,3586.116144410486,0.972287804461731,5.844444444444445,30.416666666666668,10.138065447129048,128.6152080364402,8,0,0.02392539628137806,0
price_war,12,36,3745.4519875440105,0.9844350982368029,5.866666666666666,28.583333333333332,12.036094732760702,94.24739688116495,3,0,0.8664716109803439,0
supply_shock,12,36,3474.8781648281038,0.7927682053093047,5.827777777777778,154.55555555555554,25.175375906892214,115.46616446903339,14,0,40.96223439179247,0
high_volatility,12,36,3461.818006482715,0.9766767010847772,5.838888888888889,43.69444444444444,29.50026582054512,155.28527017617887,10,0,2.4002103616070842,0
no_reputation,12,36,3679.0912486051084,0.9853933628677741,5.844444444444445,30.22222222222222,34.25271567520265,153.03501265730966,5,0,1.63775113895733,0
no_transfer,12,36,3544.4744796448617,0.9734224685540467,5.838888888888889,30.194444444444443,0.0,121.298988195774,9,0,3.5226755297733012,0
