mode,scenario,agent,profit,fulfillment,defaults,final_backlog,training_share,enterprise_share,spot_share
llm,baseline,Hyperscaler,893.7118613986215,1.0,0,0.0,0.5421557936233524,0.233665689511876,0.22417851686477164
llm,baseline,PremiumCloud,1484.8148035249528,0.9760342248470981,0,0.3576943209899098,0.2720667805234393,0.6761367220600043,0.05179649741655637
llm,baseline,SpotBroker,994.1380222499913,1.0,0,0.0,0.4254488810516804,0.29624440941981495,0.27830670952850467
llm,price_war,Hyperscaler,959.1259954066583,0.9861408525952842,0,0.5313446999373536,0.4313670714546533,0.13760140505871596,0.4310315234866307
llm,price_war,PremiumCloud,1128.9230439032276,1.0,0,0.0,0.2570695567030284,0.6693382146795178,0.07359222861745378
llm,price_war,SpotBroker,762.2566374424323,0.9863581065957814,1,0.0,0.3179592441659837,0.21021649107861712,0.47182426475539924
llm,supply_shock,Hyperscaler,940.1732799396264,0.9340607733063626,3,3.572669157006199,0.5302482446345398,0.2471566396150214,0.2225951157504388
llm,supply_shock,PremiumCloud,1502.3215276473761,0.885054313214195,4,2.002133562094255,0.2890199541743613,0.6512710620029791,0.059708983822659434
llm,supply_shock,SpotBroker,1154.6658406452473,0.9643265796284074,2,5.52027177928119,0.41087098971361746,0.3261689938953697,0.2629600163910128
llm,high_volatility,Hyperscaler,926.011009842502,1.0,0,0.0,0.5358182065696299,0.24163319915667442,0.22254859427369564
llm,high_volatility,PremiumCloud,1502.4906452527866,0.9708938439903341,1,0.7353769916328567,0.2884499879515954,0.6503246021128367,0.06122540993556786
llm,high_volatility,SpotBroker,903.9449661912811,0.9771505688901096,1,0.0,0.4237621148307832,0.2971212506826418,0.279116634486575
llm,no_reputation,Hyperscaler,928.8803583884518,1.0,0,0.0,0.5279279730026447,0.2574618606589907,0.2146101663383647
llm,no_reputation,PremiumCloud,1274.6735706992608,0.9851678795990757,0,0.6739869923240673,0.2878348814102568,0.6510567334675009,0.061108385122242294
llm,no_reputation,SpotBroker,979.2060851591511,1.0,0,0.0,0.41256915512046916,0.31714743769929,0.2702834071802409
llm,no_transfer,Hyperscaler,919.258631352508,1.0,0,0.0,0.5323462568607237,0.2443758636122457,0.22327787952703054
llm,no_transfer,PremiumCloud,1477.4820156826354,0.9463995814687559,2,0.0,0.29563605901946055,0.6398141643128566,0.06454977666768276
llm,no_transfer,SpotBroker,1037.8903024679869,0.9980317631778991,0,0.0,0.4153070002293115,0.3171449548551077,0.26754804491558076
llm-context,baseline,Hyperscaler,1006.7381824862665,1.0,0,0.0,0.5445708446647218,0.2290474196652977,0.22638173566998038
llm-context,baseline,PremiumCloud,1700.4603377098285,0.9911497746295258,0,0.0,0.28808701080157406,0.652231599066175,0.05968139013225098
llm-context,baseline,SpotBroker,807.5537651361977,0.9782791940405833,1,0.040865946079652236,0.4297400287738739,0.28448363614370564,0.28577633508242045
llm-context,price_war,Hyperscaler,971.5015260049755,0.9888595079303569,0,0.03570520146752942,0.42894450140157797,0.1346514342429118,0.43640406435551027
llm-context,price_war,PremiumCloud,1100.3856154509058,1.0,0,0.0,0.26811579975023764,0.646124837216407,0.08575936303335531
llm-context,price_war,SpotBroker,776.0159719165176,0.9416771253955822,1,0.6248372107658369,0.32062805109037734,0.21149258865517595,0.4678793602544467
llm-context,supply_shock,Hyperscaler,1000.8950715519184,0.9430604828786925,3,4.739528266098181,0.530315660717471,0.2548229931547683,0.21486134612776067
llm-context,supply_shock,PremiumCloud,1464.637605692141,0.8601875445283902,6,2.614767564630855,0.296811158142478,0.6396967837578906,0.06349205809963135
llm-context,supply_shock,SpotBroker,997.6124055817326,0.9523250015598564,2,0.4524203186584262,0.41812423201090315,0.30530086378037763,0.27657490420871933
llm-context,high_volatility,Hyperscaler,1023.6216031926704,0.9994470020101605,0,0.0,0.5286089908221162,0.24951287769225802,0.2218781314856257
llm-context,high_volatility,PremiumCloud,1506.5742657359508,0.9474563982891983,3,0.0,0.2936558351413648,0.6421168401716446,0.0642273246869906
llm-context,high_volatility,SpotBroker,873.746442583896,0.9609595162524934,2,0.0,0.42197624017206387,0.3009315617866353,0.2770921980413007
llm-context,no_reputation,Hyperscaler,1096.7726124466562,0.9994787545918841,0,0.0,0.5238435229530118,0.24866051765054897,0.2274959593964391
llm-context,no_reputation,PremiumCloud,1392.3071092111247,0.9227926465852776,4,0.0934787867965411,0.2884896803450458,0.6473013195944425,0.06420900006051178
llm-context,no_reputation,SpotBroker,922.7702675958437,0.9516988342427477,1,0.0,0.40509829057283087,0.34603772447548337,0.24886398495168582
llm-context,no_transfer,Hyperscaler,1013.1485509319995,1.0,0,0.0,0.5335220763566311,0.2441690390384887,0.22230888460488032
llm-context,no_transfer,PremiumCloud,1520.2034317019081,0.9585383503333335,2,0.25424754840592517,0.29402890625979455,0.6425160274221483,0.06345506631805717
llm-context,no_transfer,SpotBroker,989.0774129963687,0.9874058780429409,0,0.0,0.4174505372899679,0.311388112082202,0.27116135062783003
llm-adaptive,baseline,Hyperscaler,1481.8330503513707,1.0,0,0.0,0.5289477304223917,0.26030560826187626,0.21074666131573197
llm-adaptive,baseline,PremiumCloud,1073.7221010920682,0.9605169885930213,2,0.5230569286120242,0.3043002086942704,0.6253212939849633,0.0703784973207663
llm-adaptive,baseline,SpotBroker,1160.8119764533878,0.996420930802498,0,0.0,0.41954657382509597,0.290432360130768,0.290021066044136
llm-adaptive,price_war,Hyperscaler,1499.954569386599,1.0,0,0.0,0.43238760310463475,0.13958189879670357,0.42803049809866167
llm-adaptive,price_war,PremiumCloud,1084.4581055860358,0.9968189094985976,0,0.0,0.29187630492500094,0.5976953023182874,0.11042839275671168
llm-adaptive,price_war,SpotBroker,1012.6749888982251,0.9930985209785429,0,0.0,0.31394631635191306,0.19736791696378442,0.4886857666843025
llm-adaptive,supply_shock,Hyperscaler,1581.9039623785154,0.9717981301198141,2,3.8481856137186976,0.5249280996101718,0.26535321205030654,0.20971868833952162
llm-adaptive,supply_shock,PremiumCloud,1177.7649408994764,0.83700503629723,5,7.045442590679257,0.3120926523990791,0.612841714671754,0.07506563292916689
llm-adaptive,supply_shock,SpotBroker,1478.1153248628752,0.9895763615040427,0,0.030542626423309568,0.4136781548708311,0.30449826458849194,0.2818235805406769
llm-adaptive,high_volatility,Hyperscaler,1511.9742337695307,1.0,0,0.0,0.5240749892136529,0.2684966692572021,0.20742834152914494
llm-adaptive,high_volatility,PremiumCloud,1063.9451453554207,0.941196129876563,3,1.318257962009362,0.3068536030152382,0.6213433662191057,0.07180303076565621
llm-adaptive,high_volatility,SpotBroker,1130.6444993549776,0.98930434503684,1,0.0,0.4192595028230486,0.2884513342939092,0.2922891628830423
llm-adaptive,no_reputation,Hyperscaler,1242.3718565025854,1.0,0,0.0,0.5321353444933923,0.2649076475152287,0.20295700799137903
llm-adaptive,no_reputation,PremiumCloud,1068.7214967787324,0.924786300051189,4,3.2322768691033517,0.3093973753182151,0.6198032953318829,0.07079932934990193
llm-adaptive,no_reputation,SpotBroker,1221.7219446990148,1.0,0,0.0,0.41894253219319816,0.29367101728338163,0.2873864505234202
llm-adaptive,no_transfer,Hyperscaler,1225.6205507536752,1.0,0,0.0,0.5167752045652302,0.28259467470385313,0.20063012073091674
llm-adaptive,no_transfer,PremiumCloud,1101.3896762453742,0.8655386674547505,8,3.0195447126202626,0.32353349284172833,0.5976413911568422,0.07882511600142954
llm-adaptive,no_transfer,SpotBroker,1231.793637718709,0.9980541118577142,0,0.0,0.40829053131141535,0.3134376103123406,0.278271858376244
