mode,scenario,agent,profit,fulfillment,defaults,final_backlog,training_share,enterprise_share,spot_share
llm-context,high_volatility,SpotBroker,785.7087489890037,0.9214292128165371,3,0.18134199625867187,0.480319879885365,0.3070908734797338,0.33219348157025813
llm-context,no_reputation,Hyperscaler,1040.6108394851005,1.0,0,0.0,0.48435565543984815,0.2334812261435089,0.20214430410724024
llm-context,no_reputation,PremiumCloud,1334.4701698545496,0.9796700253219562,0,0.0,0.331625617109904,0.7401184505799244,0.07272936877683599
llm-context,no_reputation,SpotBroker,996.5045652132418,0.9775120053913415,0,0.6721451809498569,0.44982778773925025,0.3589845554672203,0.2886891891933479
llm-context,no_transfer,Hyperscaler,1062.7336359922297,1.0,0,0.0,0.45996785903503784,0.20767574242011758,0.19614480003920684
llm-context,no_transfer,PremiumCloud,1543.553021131818,0.9573699329419585,3,0.0,0.31672207212316306,0.6668140324810693,0.07137933239379096
llm-context,no_transfer,SpotBroker,749.4637220585155,0.9516520442418971,3,1.3394122884583977,0.5958273614583819,0.42830968084780435,0.3890007358865863
llm-adaptive,baseline,Hyperscaler,1481.8330503513707,1.0,0,0.0,0.45974337836203866,0.22624878199843068,0.18317383075723542
llm-adaptive,baseline,PremiumCloud,1073.7221010920682,0.9605169885930213,2,0.5230569286120242,0.4758222800351709,0.9777903378219767,0.11004809100956336
llm-adaptive,baseline,SpotBroker,1160.8119764533878,0.996420930802498,0,0.0,0.41422645756369636,0.28674949386902965,0.28634341525189505
llm-adaptive,price_war,Hyperscaler,1499.954569386599,1.0,0,0.0,0.4161828774967098,0.1343507442640738,0.41198906507951527
llm-adaptive,price_war,PremiumCloud,1084.4581055860358,0.9968189094985976,0,0.0,0.3193914755273504,0.6540400207281506,0.12083847406435645
llm-adaptive,price_war,SpotBroker,1012.6749888982251,0.9930985209785429,0,0.0,0.3265266646236426,0.20527677591114335,0.5082682138101812
llm-adaptive,supply_shock,Hyperscaler,1581.9039623785154,0.9717981301198141,2,3.8481856137186976,0.5104314525184336,0.2580251001191503,0.20392700407712827
